"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005023200","Census Tract 232, Bronx County, New York",2661,2661,1206,1455,1183,28.9
"36005023301","Census Tract 233.01, Bronx County, New York",4377,4377,1627,2750,641,35.2
"36005023302","Census Tract 233.02, Bronx County, New York",3415,3415,625,2790,649,32.3
"36005023501","Census Tract 235.01, Bronx County, New York",3341,3341,743,2598,695,32.3
"36005023502","Census Tract 235.02, Bronx County, New York",4386,4386,1151,3235,1195,36.9
"36005023600","Census Tract 236, Bronx County, New York",1907,1907,753,1154,778,30.2
"36005023702","Census Tract 237.02, Bronx County, New York",1241,1241,283,958,306,31.1
"36005023703","Census Tract 237.03, Bronx County, New York",5253,5253,1303,3950,1333,32.6
"36005023704","Census Tract 237.04, Bronx County, New York",3758,3758,968,2790,697,32.5
"36005023800","Census Tract 238, Bronx County, New York",2615,2615,1011,1604,1088,29.2
"36005023900","Census Tract 239, Bronx County, New York",8348,8348,2037,6311,1958,30.2
"36005024000","Census Tract 240, Bronx County, New York",3882,3882,1425,2457,977,30.3
"36005024100","Census Tract 241, Bronx County, New York",6182,6182,1851,4331,1130,29.6
"36005024300","Census Tract 243, Bronx County, New York",5685,5685,1761,3924,1017,31.1
"36005024400","Census Tract 244, Bronx County, New York",2120,2120,1349,771,1390,33.3
"36005024501","Census Tract 245.01, Bronx County, New York",4864,4864,1151,3713,893,31.4
"36005024502","Census Tract 245.02, Bronx County, New York",3640,3640,1005,2635,586,32.5
"36005024600","Census Tract 246, Bronx County, New York",2058,2058,1412,646,1226,31.5
"36005024700","Census Tract 247, Bronx County, New York",1764,1764,942,822,224,38.8
"36005024800","Census Tract 248, Bronx County, New York",3363,3363,2482,881,2114,61
"36005024900","Census Tract 249, Bronx County, New York",0,0,0,0,0,0
"36005025000","Census Tract 250, Bronx County, New York",2383,2383,1888,495,1783,29.8
"36005025100","Census Tract 251, Bronx County, New York",6802,6802,2226,4576,1264,32
"36005025200","Census Tract 252, Bronx County, New York",2530,2530,1792,738,1682,29.3
"36005025300","Census Tract 253, Bronx County, New York",6332,6332,1640,4692,1455,30.9
"36005025400","Census Tract 254, Bronx County, New York",1959,1959,1589,370,1524,31.8
"36005025500","Census Tract 255, Bronx County, New York",6529,6529,1491,5038,1389,32.6
"36005025600","Census Tract 256, Bronx County, New York",1663,1663,943,720,823,35.3
"36005025700","Census Tract 257, Bronx County, New York",1912,1912,463,1449,313,36.3
"36005026100","Census Tract 261, Bronx County, New York",1932,1932,1330,602,367,48.7
"36005026300","Census Tract 263, Bronx County, New York",6984,6984,2178,4806,1955,44
"36005026400","Census Tract 264, Bronx County, New York",4935,4935,3085,1850,3419,30.1
"36005026500","Census Tract 265, Bronx County, New York",6942,6942,1754,5188,1761,31.3
"36005026601","Census Tract 266.01, Bronx County, New York",2911,2911,1794,1117,2101,33.1
"36005026602","Census Tract 266.02, Bronx County, New York",5301,5301,3019,2282,3566,38.3
"36005026701","Census Tract 267.01, Bronx County, New York",4037,4037,1251,2786,913,30.3
